Entry	Gene Names (primary)	Protein names	Gene Ontology (molecular function)
Q92551	IP6K1	Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)	ATP binding [GO:0005524]; diphosphoinositol pentakisphosphate kinase activity [GO:0000829]; diphosphoinositol tetrakisphosphate kinase activity [GO:0052839]; inositol 5-diphosphate pentakisphosphate 5-kinase activity [GO:0052836]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]
Q92630	DYRK2	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
Q92772	CDKL2	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q92918	MAP4K1	Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)	ATP binding [GO:0005524]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q92989	CLP1	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity [GO:0051736]; polynucleotide 5'-hydroxyl-kinase activity [GO:0051731]
Q969G6	RFK	Riboflavin kinase (EC 2.7.1.26) (ATP:riboflavin 5'-phosphotransferase) (Flavokinase)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; riboflavin kinase activity [GO:0008531]
Q96BR1	SGK3	Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)	ATP binding [GO:0005524]; calcium channel regulator activity [GO:0005246]; chloride channel regulator activity [GO:0017081]; phosphatidylinositol binding [GO:0035091]; potassium channel regulator activity [GO:0015459]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; sodium channel regulator activity [GO:0017080]
Q96C11	FGGY	FGGY carbohydrate kinase domain-containing protein (D-ribulokinase FGGY) (EC 2.7.1.47)	D-ribulokinase activity [GO:0019150]
Q96C45	ULK4	Serine/threonine-protein kinase ULK4 (EC 2.7.11.1) (Unc-51-like kinase 4)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96D53	COQ8B	Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; lipid binding [GO:0008289]; protein kinase activity [GO:0004672]
Q96DU7	ITPKC	Inositol-trisphosphate 3-kinase C (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase C) (IP3 3-kinase C) (IP3K C) (InsP 3-kinase C)	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,4,5-trisphosphate 3-kinase activity [GO:0008440]
Q96GD4	AURKB	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	ATP binding [GO:0005524]; kinase binding [GO:0019900]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]
Q96GX5	MASTL	Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein phosphatase 2A binding [GO:0051721]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transmembrane transporter binding [GO:0044325]
Q96J92	WNK4	Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)	ATP binding [GO:0005524]; chloride ion binding [GO:0031404]; ion channel inhibitor activity [GO:0008200]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96KB5	PBK	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
Q96L34	MARK4	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	ATP binding [GO:0005524]; cytoskeletal anchor activity [GO:0008093]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; ubiquitin binding [GO:0043130]
Q96L96	ALPK3	Alpha-protein kinase 3 (EC 2.7.11.1) (Muscle alpha-protein kinase)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96M32	AK7	Adenylate kinase 7 (AK 7) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 7)	(d)CMP kinase activity [GO:0004127]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]
Q96MA6	AK8	Adenylate kinase 8 (AK 8) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 8)	(d)CMP kinase activity [GO:0004127]; adenylate kinase activity [GO:0004017]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]
Q96NX5	CAMK1G	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	ATP binding [GO:0005524]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; protein serine kinase activity [GO:0106310]
Q96PC2	IP6K3	Inositol hexakisphosphate kinase 3 (InsP6 kinase 3) (EC 2.7.4.21) (Inositol hexaphosphate kinase 3)	ATP binding [GO:0005524]; diphosphoinositol pentakisphosphate kinase activity [GO:0000829]; diphosphoinositol tetrakisphosphate kinase activity [GO:0052839]; inositol 5-diphosphate pentakisphosphate 5-kinase activity [GO:0052836]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate 6-kinase activity [GO:0000831]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]
Q96PF2	TSSK2	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]
Q96PN8	TSSK3	Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96PY6	NEK1	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
Q96Q04	LMTK3	Serine/threonine-protein kinase LMTK3 (EC 2.7.11.1) (Lemur tyrosine kinase 3)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96Q15	SMG1	Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]
Q96Q40	CDK15	Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96QP1	ALPK1	Alpha-protein kinase 1 (EC 2.7.11.1) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase)	ATP binding [GO:0005524]; monosaccharide binding [GO:0048029]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96QS6	PSKH2	Serine/threonine-protein kinase H2 (EC 2.7.11.1) (Protein serine kinase H2) (PSK-H2)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96QT4	TRPM7	Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7) [Cleaved into: TRPM7 kinase, cleaved form (M7CK); TRPM7 channel, cleaved form]	actin binding [GO:0003779]; ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; magnesium ion transmembrane transporter activity [GO:0015095]; metal ion binding [GO:0046872]; myosin binding [GO:0017022]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion transmembrane transporter activity [GO:0005385]
Q96RG2	PASK	PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1)	ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96RR4	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
Q96S38	RPS6KC1	Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein)	ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96S44	TP53RK	EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; p53 binding [GO:0002039]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q96S53	TESK2	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
Q96SB4	SRPK1	SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]
Q96T60	PNKP	Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]	ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; damaged DNA binding [GO:0003684]; double-stranded DNA binding [GO:0003690]; endonuclease activity [GO:0004519]; polynucleotide 3'-phosphatase activity [GO:0046403]; purine nucleotide binding [GO:0017076]
Q99558	MAP3K14	Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.11.25) (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK)	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q99570	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q99611	SEPHS2	Selenide, water dikinase 2 (EC 2.7.9.3) (Selenium donor protein 2) (Selenophosphate synthase 2)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; selenide, water dikinase activity [GO:0004756]
Q99640	PKMYT1	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase)	ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q99683	MAP3K5	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; JUN kinase kinase kinase activity [GO:0004706]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q99755	PIP5K1A	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase alpha) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha)	1-phosphatidylinositol-3-phosphate 5-kinase activity [GO:0000285]; 1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; 1-phosphatidylinositol-5-kinase activity [GO:0052810]; ATP binding [GO:0005524]; kinase binding [GO:0019900]; phosphatidylinositol kinase activity [GO:0052742]
Q99759	MAP3K3	Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.11.25) (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3)	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q99986	VRK1	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)	ATP binding [GO:0005524]; histone binding [GO:0042393]; histone H2AX kinase activity [GO:0141003]; histone H3S10 kinase activity [GO:0035175]; histone H3T3 kinase activity [GO:0072354]; kinase activity [GO:0016301]; nucleosomal DNA binding [GO:0031492]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BQI3	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (hHRI) (Hemin-sensitive initiation factor 2-alpha kinase)	ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; heme binding [GO:0020037]; protein homodimerization activity [GO:0042803]; protein serine kinase activity [GO:0106310]
Q9BRR6	ADPGK	ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147) (RbBP-35)	ADP-specific glucokinase activity [GO:0043843]; metal ion binding [GO:0046872]
Q9BRS2	RIOK1	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.1.-) (RIO kinase 1)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BTU6	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]
Q9BUB5	MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BVS4	RIOK2	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BWU1	CDK19	Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BX84	TRPM6	Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6) [Cleaved into: TRPM6 kinase, cleaved form]	ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; calcium ion transmembrane transporter activity [GO:0015085]; magnesium ion transmembrane transporter activity [GO:0015095]; metal ion binding [GO:0046872]; monoatomic cation channel activity [GO:0005261]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BXA6	TSSK6	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]
Q9BXA7	TSSK1B	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]
Q9BXM7	PINK1	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	ATP binding [GO:0005524]; C3HC4-type RING finger domain binding [GO:0055131]; kinase activity [GO:0016301]; kinase binding [GO:0019900]; magnesium ion binding [GO:0000287]; peptidase activator activity [GO:0016504]; protease binding [GO:0002020]; protein kinase activity [GO:0004672]; protein kinase B binding [GO:0043422]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; ubiquitin protein ligase binding [GO:0031625]
Q9BXU1	STK31	Serine/threonine-protein kinase 31 (EC 2.7.11.1) (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BYP7	WNK3	Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)	ATP binding [GO:0005524]; molecular condensate scaffold activity [GO:0140693]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transmembrane transporter binding [GO:0044325]; transporter activator activity [GO:0141109]
Q9BYT3	STK33	Serine/threonine-protein kinase 33 (EC 2.7.11.1)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9BZ23	PANK2	Pantothenate kinase 2, mitochondrial (hPanK2) (EC 2.7.1.33) (Pantothenic acid kinase 2) [Cleaved into: Pantothenate kinase 2, mitochondrial intermediate form (iPanK2); Pantothenate kinase 2, mitochondrial mature form (mPanK2)]	ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]
Q9BZL6	PRKD2	Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2)	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]
Q9BZX2	UCK2	Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Testis-specific protein TSA903) (Uridine monophosphokinase 2)	ATP binding [GO:0005524]; cytidine kinase activity [GO:0043771]; identical protein binding [GO:0042802]; uridine kinase activity [GO:0004849]
Q9C098	DCLK3	Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9H093	NUAK2	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9H0K1	SIK2	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9H1R3	MYLK2	Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)	ATP binding [GO:0005524]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; myosin light chain binding [GO:0032027]; myosin light chain kinase activity [GO:0004687]
Q9H2G2	SLK	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9H2K8	TAOK3	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	ATP binding [GO:0005524]; protein kinase inhibitor activity [GO:0004860]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transferase activity [GO:0016740]
Q9H2X6	HIPK2	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; virion binding [GO:0046790]
Q9H3S4	TPK1	Thiamine pyrophosphokinase 1 (hTPK1) (EC 2.7.6.-) (Placental protein 20) (PP20) (Thiamin pyrophosphokinase 1)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; thiamine binding [GO:0030975]; thiamine diphosphokinase activity [GO:0004788]; UTP thiamine diphosphokinase activity [GO:0141200]
Q9H3Y6	SRMS	Tyrosine-protein kinase Srms (EC 2.7.10.2)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]
